iter	Passed	Remaining
0	1	193
1	3	158
2	4	146
3	5	132
4	6	130
5	8	126
6	9	122
7	10	120
8	11	118
9	12	115
10	13	112
11	15	111
12	16	110
13	17	107
14	18	107
15	20	106
16	21	105
17	22	104
18	24	102
19	25	100
20	26	98
21	27	96
22	28	95
23	29	93
24	30	92
25	31	90
26	33	89
27	34	88
28	35	86
29	36	85
30	37	83
31	38	82
32	39	80
33	41	79
34	42	78
35	43	76
36	44	75
37	45	74
38	46	73
39	47	71
40	49	70
41	49	68
42	50	67
43	51	66
44	52	64
45	54	63
46	55	62
47	56	61
48	57	60
49	58	58
50	59	57
51	60	56
52	62	54
53	63	53
54	63	52
55	65	51
56	66	49
57	67	48
58	68	47
59	70	46
60	71	45
61	72	44
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	89	28
76	90	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
