iter	Passed	Remaining
0	142	141865
1	145	72724
2	150	49872
3	153	38299
4	157	31246
5	161	26714
6	164	23331
7	167	20728
8	169	18662
9	171	16948
10	172	15538
11	174	14387
12	176	13390
13	177	12526
14	179	11770
15	180	11107
16	181	10515
17	182	9978
18	184	9502
19	185	9069
20	186	8679
21	187	8322
22	188	7999
23	189	7695
24	190	7421
25	191	7162
26	192	6923
27	193	6706
28	194	6499
29	194	6301
30	195	6115
31	196	5942
32	197	5779
33	198	5628
34	198	5483
35	199	5347
36	200	5220
37	201	5100
38	202	4984
39	203	4874
40	203	4770
41	204	4669
42	205	4572
43	206	4480
44	206	4392
45	207	4307
46	208	4226
47	209	4150
48	210	4076
49	210	4007
50	211	3938
51	212	3872
52	213	3809
53	213	3747
54	214	3690
55	215	3634
56	216	3585
57	217	3533
58	218	3484
59	219	3435
60	220	3389
61	220	3342
62	221	3298
63	222	3254
64	223	3211
65	224	3171
66	224	3131
67	225	3092
68	226	3054
69	227	3018
70	228	2990
71	229	2958
72	230	2926
73	231	2895
74	232	2864
75	233	2834
76	233	2804
77	234	2774
78	235	2745
79	236	2717
80	237	2689
81	237	2663
82	238	2633
83	239	2608
84	240	2584
85	240	2560
86	241	2538
87	242	2516
88	243	2493
89	244	2471
90	245	2450
91	246	2430
92	247	2409
93	247	2389
94	248	2368
95	249	2349
96	250	2329
97	251	2310
98	251	2292
99	252	2274
100	253	2256
101	254	2239
102	255	2222
103	255	2205
104	256	2188
105	257	2172
106	258	2158
107	259	2142
108	260	2127
109	261	2112
110	261	2097
111	262	2083
112	263	2070
113	264	2057
114	265	2043
115	266	2030
116	267	2015
117	267	2001
118	268	1988
119	269	1975
120	270	1963
121	270	1949
122	271	1938
123	272	1925
124	273	1913
125	274	1901
126	274	1888
127	275	1876
128	276	1865
129	277	1853
130	277	1842
131	278	1831
132	279	1820
133	280	1810
134	280	1800
135	281	1790
136	282	1780
137	283	1771
138	284	1761
139	285	1751
140	285	1741
141	286	1731
142	287	1721
143	288	1712
144	288	1702
145	289	1693
146	290	1684
147	291	1675
148	291	1667
149	292	1658
150	293	1649
151	294	1641
152	295	1633
153	295	1625
154	296	1617
155	297	1610
156	298	1602
157	299	1595
158	300	1588
159	301	1580
160	301	1572
161	302	1564
162	303	1557
163	303	1549
164	304	1542
165	305	1535
166	306	1527
167	307	1521
168	307	1514
169	308	1507
170	309	1500
171	310	1493
172	311	1487
173	311	1480
174	312	1473
175	313	1467
176	314	1461
177	315	1455
178	316	1449
179	316	1443
180	317	1438
181	318	1432
182	319	1425
183	320	1419
184	320	1413
185	321	1407
186	322	1402
187	323	1396
188	324	1390
189	325	1386
190	326	1380
191	326	1375
192	327	1370
193	328	1364
194	329	1359
195	330	1354
196	330	1348
197	331	1343
198	332	1338
199	333	1333
200	334	1328
201	334	1323
202	335	1318
203	336	1313
204	337	1308
205	338	1303
206	339	1299
207	339	1294
208	340	1289
209	341	1285
210	342	1281
211	343	1277
212	344	1272
213	345	1268
214	346	1263
215	347	1259
216	347	1255
217	348	1251
218	349	1247
219	350	1243
220	351	1239
221	352	1236
222	353	1232
223	354	1228
224	355	1224
225	356	1221
226	357	1216
227	358	1212
228	359	1209
229	360	1205
230	361	1202
231	362	1198
232	363	1195
233	364	1191
234	364	1188
235	365	1184
236	366	1180
237	367	1177
238	368	1173
239	369	1171
240	371	1169
241	372	1166
242	373	1162
243	374	1159
244	375	1156
245	376	1152
246	377	1149
247	378	1146
248	379	1144
249	380	1140
250	381	1137
251	382	1133
252	382	1130
253	383	1127
254	384	1124
255	385	1120
256	386	1118
257	387	1115
258	389	1113
259	390	1110
260	391	1108
261	392	1105
262	393	1102
263	394	1100
264	395	1097
265	396	1094
266	397	1092
267	398	1089
268	399	1086
269	400	1083
270	401	1080
271	402	1077
272	403	1074
273	404	1071
274	405	1069
275	406	1066
276	407	1063
277	408	1060
278	409	1057
279	410	1055
280	411	1052
281	412	1049
282	413	1047
283	414	1044
284	415	1041
285	415	1038
286	416	1035
287	417	1032
288	418	1029
289	419	1027
290	420	1024
291	421	1021
292	422	1019
293	423	1017
294	424	1014
295	425	1011
296	426	1009
297	427	1006
298	428	1003
299	429	1001
300	430	998
301	431	996
302	432	994
303	433	991
304	434	989
305	435	986
306	435	983
307	436	981
308	437	979
309	438	976
310	440	974
311	441	972
312	442	970
313	443	968
314	444	965
315	445	963
316	446	961
317	447	959
318	448	956
319	449	954
320	450	952
321	451	949
322	452	947
323	453	945
324	454	943
325	455	940
326	456	938
327	457	936
328	458	934
329	459	932
330	460	930
331	461	928
332	462	926
333	463	923
334	464	921
335	465	919
336	466	917
337	467	915
338	468	913
339	469	911
340	470	908
341	471	906
342	472	904
343	473	902
344	473	899
345	474	897
346	475	895
347	477	894
348	478	891
349	479	889
350	480	887
351	481	885
352	482	883
353	483	881
354	484	879
355	484	877
356	485	875
357	486	873
358	487	871
359	488	868
360	489	866
361	490	864
362	491	862
363	492	861
364	493	859
365	494	857
366	495	855
367	496	853
368	498	851
369	498	849
370	499	847
371	500	845
